date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-06-23,KBNRC01:000087626:mpeg21:a0097,Algemeen Handelsblad,6,8,472,5.4541429068640384e-05,1,1,4631970,2,1950,[0.04485348566592616],[0.03629039048180364]
1950-06-23,KBNRC01:000087626:mpeg21:a0136,Algemeen Handelsblad,8,8,9,8.104626769330076e-07,0,2,5916300,2,1950,[],"[0.1479194766999645, 0.06776735459662289]"
1950-06-23,KBNRC01:000087626:mpeg21:a0137,Algemeen Handelsblad,8,8,755,0.00027370245099638565,1,0,2642850,1,1950,[0.04427606561098814],[]
1950-06-24,KBNRC01:000087627:mpeg21:a0124,Algemeen Handelsblad,8,14,545,0.0001063627152039744,1,1,2793648,2,1950,[0.0683493410766138],[0.2529166165529802]
1950-06-26,KBNRC01:000087628:mpeg21:a0091,Algemeen Handelsblad,5,8,338,7.486669630324645e-05,0,1,3186699,1,1950,[],[0.38326180163234747]
1950-06-26,KBNRC01:000087628:mpeg21:a0147,Algemeen Handelsblad,8,8,144,1.1732617556754095e-05,0,2,6528501,2,1950,[],"[0.043654737894656064, 0.02243623766006929]"
1950-06-28,KBNRC01:000087630:mpeg21:a0094,Algemeen Handelsblad,6,6,130,5.7887790307268396e-05,1,1,1204728,2,1950,[0.04864832559714724],[0.07182202123632886]
1950-06-28,KBNRC01:000087630:mpeg21:a0115,Algemeen Handelsblad,6,6,2594,0.0002583125815255519,2,2,6683459,4,1950,"[0.050424189031458115, 0.053203588142008505]","[0.03688090253864054, 0.04796528264780258]"
1950-06-29,KBNRC01:000087631:mpeg21:a0097,Algemeen Handelsblad,6,8,639,6.126153315471299e-05,0,3,5981936,3,1950,[],"[0.012342158124058833, 0.015373283833193802, 0.20891865108553484]"
1950-06-29,KBNRC01:000087631:mpeg21:a0102,Algemeen Handelsblad,6,8,878,7.913567261265792e-05,1,1,5850896,2,1950,[0.12044975675520467],[0.22342731779884653]
1950-06-30,KBNRC01:000087632:mpeg21:a0108,Algemeen Handelsblad,6,8,591,9.400263207369808e-05,1,1,4602990,2,1950,[0.1533698747987721],[0.0729873408371515]
1950-07-01,KBNRC01:000067710:mpeg21:a0127,Algemeen Handelsblad,8,12,162,1.847381644415981e-05,16,3,4820562,19,1950,"[0.020632241634896513, 0.007877919628458258, 0.005565118755862905, 0.005914663062107696, 0.0061619371351307175, 0.006170857256892454, 0.005525081930281158, 0.019637959225501093, 0.01647380533639024, 0.022322293541707377, 0.026570138502523148, 0.020472301777261656, 0.016896370174265988, 0.017139080464062074, 0.025808816482393547, 0.04659726397046651]","[0.035202327031578474, 0.04990185791615168, 0.01089084633700386]"
1950-07-04,KBNRC01:000067712:mpeg21:a0099,Algemeen Handelsblad,6,6,332,9.702008081889624e-05,1,1,2145480,2,1950,[0.1407088390476723],[0.1786509312601376]
1950-07-05,KBNRC01:000067713:mpeg21:a0051,Algemeen Handelsblad,3,6,995,0.0002888210296542275,0,1,2515328,1,1950,[],[0.01358470942954557]
1950-07-05,KBNRC01:000067713:mpeg21:a0115,Algemeen Handelsblad,6,6,787,0.00026732364197381994,0,1,2228265,1,1950,[],[0.02122907284366985]
1950-07-07,KBNRC01:000067715:mpeg21:a0070,Algemeen Handelsblad,4,6,525,0.00015276535851992774,0,2,3210064,2,1950,[],"[0.04127394344785649, 0.03674817698338725]"
1950-07-08,KBNRC01:000067716:mpeg21:a0188,Algemeen Handelsblad,12,12,1354,0.0002408879764164622,4,0,4195782,4,1950,"[0.0007931775292424631, 0.0008873196939211808, 0.0005329161524597799, 0.0028571551143505547]",[]
1950-07-08,KBNRC01:000067716:mpeg21:a0192,Algemeen Handelsblad,12,12,519,5.573548176612103e-05,0,2,5666950,2,1950,[],"[0.015955672804595065, 0.12399791775117126]"
1950-07-13,KBNRC01:000067720:mpeg21:a0150,Algemeen Handelsblad,8,8,734,0.00018069133390576875,2,3,2908360,5,1950,"[0.03604368097484493, 0.09017453135100194]","[0.01753393665158371, 0.03718590545874651, 0.04159663865546218]"
